id,number,multi_part,attribution,text,install_position,adjacent_plates,dimensions_cm,cluster_id,source_ids,notes
caption-01,1,,Carl Sandburg Introduction,There is only one man in the world • • •,,,36 x 72,sec-prologue,src-moma-exh-0569-master-checklist,Sits in MoMA Master Checklist Section 1 (Prologue)
caption-02,2,,James Joyce,• • • and then I asked him with my eyes to ask again yes. • •,under #19,19,9 1/2 x 37,sec-lovers,src-moma-exh-0569-master-checklist,Sits in MoMA Master Checklist Section 2 (Lovers)
caption-03,3,,Pueblo Indian,He shall be one person,to top left of #27,27,1 x 20,sec-marriage-birth,src-moma-exh-0569-master-checklist,"OCR flag: """"bs one person."""" Sits in MoMA Master Checklist Section 3 (Marriage)"
caption-04,4,,Scriabin,The universe resounds with the joyful cry I am. •,under #44,44,2 1/2 x 24 1/4,sec-marriage-birth,src-moma-exh-0569-master-checklist,Sits in MoMA Master Checklist Section 5 (Childbirth)
caption-05,5,,Euripides,And shall not loveliness be loved forever?,under #46,46,2 x 17,sec-family-children,src-moma-exh-0569-master-checklist,Sits in MoMA Master Checklist Section 6 (Nursing Mothers)
caption-06,6,,Genesis 2: 23,"Bone of my bones, and flesh of my flesh, • •",by #63,63,2 x 58,sec-family-children,src-moma-exh-0569-master-checklist,Sits in MoMA Master Checklist Section 8 (Mothers and Babies)
caption-07,7,,Blake,"The little ones leaped, and shouted. • •",under #66,66,2 x 48,sec-family-children,src-moma-exh-0569-master-checklist,Sits in MoMA Master Checklist Section 9 (Children (A))
caption-08,8,,Proverbs 3: 18,She is a tree of life to them,under #91,91,2 x 25 3/4,sec-family-children,src-moma-exh-0569-master-checklist,Sits in MoMA Master Checklist Section 10 (Family Activities)
caption-09,9,,Lillian Smith,"• • .deep inside, in that silent place where a child's fears crouch. •",above photos 98–101,"98,101",2 x 50,sec-family-children,src-moma-exh-0569-master-checklist,Sits in MoMA Master Checklist Section 11 (Children (B))
caption-10,10,,Kwakiutl,"When I am a man, then I shall be a hunter",to left of photo 108,108,10 x 42,sec-family-children,src-moma-exh-0569-master-checklist,Sits in MoMA Master Checklist Section 12 (Fathers and Sons)
caption-11,11,,Sioux Indian,With all beings and all things we shall be as relatives,under photo 120,120,2 x 34,sec-family-children,src-moma-exh-0569-master-checklist,Sits in MoMA Master Checklist Section 13 (Family Groups)
caption-12,12,,Navajo,Before me peaceful. •,by #124,124,14 x 18,sec-work,src-moma-exh-0569-master-checklist,Sits in MoMA Master Checklist Section 14 (Land)
caption-13,13,,Maori,The land is a mother that never dies,by #129 and #130,"129,130",2 x 46,sec-work,src-moma-exh-0569-master-checklist,Sits in MoMA Master Checklist Section 14 (Land)
caption-14,14,,Bhagavad-Gita,"If I did not work, these worlds would perish",below #155,155,2 x 24,sec-work,src-moma-exh-0569-master-checklist,Sits in MoMA Master Checklist Section 15 (Work (A))
caption-15,15,,Deuteronomy 14: 29,Bless thee in all the work of thy hand which thou doest,below #185–187,"185,187",2 x 54,sec-work,src-moma-exh-0569-master-checklist,Sits in MoMA Master Checklist Section 16 (Work (B))
caption-16,16,,Exodus 32: 6,"And the people sat down to eat and to drink, and rose up to play",above #214–215,"214,215",2 x 39,sec-relationships-community,src-moma-exh-0569-master-checklist,Sits in MoMA Master Checklist Section 18 (Adult Play)
caption-17,17,,Plato,Music and rhythm find their way into the secret places of the soul,above #224,224,2 x 28,sec-relationships-community,src-moma-exh-0569-master-checklist,Sits in MoMA Master Checklist Section 19 (Classical Music)
caption-18,18,,Kabir,The hills and the sea and the earth dance . • •,by #236,236,2 1/2 x 56 3/8,sec-relationships-community,src-moma-exh-0569-master-checklist,Sits in MoMA Master Checklist Section 21 (Dance)
caption-19,19,,St. John-Perse,"Sing, sweetness, to the last palpitation of the evening and the breeze. • •",,,2 1/2 x 77,sec-relationships-community,src-moma-exh-0569-master-checklist,Sits in MoMA Master Checklist Section 22 (Folk Music)
caption-20,20,,Russian Proverb,Eat Bread and Salt and tell the Truth,above #265,265,2 x 19,sec-eating-everyday,src-moma-exh-0569-master-checklist,Sits in MoMA Master Checklist Section 23 (Food)
caption-21,21,,Montaigne,Every man beareth the whole stamp of the human condition,between #291 and #292,"291,292",2 x 53,sec-relationships-community,src-moma-exh-0569-master-checklist,Sits in MoMA Master Checklist Section 25 (Relationships)
caption-22,22,,Paine,But such is the irresistible nature of truth • • •,by #335 & #336,"335,336",3 x 41 3/4,sec-play-learning,src-moma-exh-0569-master-checklist,Sits in MoMA Master Checklist Section 26 (Learning)
caption-23,23,,Laotse,• • • the wise man looks into space. • •,under #338 & #339,"338,339",3 x 48,sec-play-learning,src-moma-exh-0569-master-checklist,Sits in MoMA Master Checklist Section 26 (Learning)
caption-24,24,,Homer,"As the generation of leaves, so is that of men",by #348,348,2 x 16,sec-death-mourning,src-moma-exh-0569-master-checklist,Sits in MoMA Master Checklist Section 27 (Death)
caption-25,25,,Kobodaishi,"Flow, flow, flow, flow, the current of life is ever onward • • •",to right of #354,354,2 x 16,sec-death-mourning,src-moma-exh-0569-master-checklist,Sits in MoMA Master Checklist Section 27 (Death)
caption-26,26,,Einstein,• • •to know that what is impenetrable to us really exists. • •,between #364 & #366,"364,366",3 x 34 3/4,sec-rededication-future,src-moma-exh-0569-master-checklist,Sits in MoMA Master Checklist Section 28 (Religious Expression)
caption-27,27,,Lui Chi,• • • I am alone with the beating of my heart. • •,to right of #375,375,2 x 23,sec-rededication-future,src-moma-exh-0569-master-checklist,Sits in MoMA Master Checklist Section 29 (Aloneness and Compassion)
caption-28,28,,Blake,"For Mercy has a human heart, Pity a human face • •",below #380,380,3 x 41 1/2,sec-rededication-future,src-moma-exh-0569-master-checklist,Sits in MoMA Master Checklist Section 29 (Aloneness and Compassion)
caption-29,29,,Genesis 37: 19,"Behold, this dreamer cometh",by #387 & #388,"387,388",2 x 35 1/2,sec-rededication-future,src-moma-exh-0569-master-checklist,Sits in MoMA Master Checklist Section 30 (Aspirations)
caption-30,30,,Virgil,What region of the earth is not full of our calamities?,below #391–394,"391,394",2 x 47 1/2,sec-hardship-suffering-war,src-moma-exh-0569-master-checklist,Sits in MoMA Master Checklist Section 31 (Hard Times)
caption-31,31,,Okakura,• .Nothing is real to us but hunger,below #395 & #397,"395,397",2 x 36 1/4,sec-hardship-suffering-war,src-moma-exh-0569-master-checklist,Sits in MoMA Master Checklist Section 32 (Famine)
caption-32,32,,Sand,Humanity is outraged in me and with me. We must not dissimulate. • •,to right of #405,405,27 1/4 x 23 3/4,sec-hardship-suffering-war,src-moma-exh-0569-master-checklist,"OCR flag: """"Sand:"""" Sits in MoMA Master Checklist Section 33 (Inhumanities)"
caption-33,33,,Bhagavad Gita,"• • • the mind is restless, turbulent, strong and unyielding. • •",under #422,422,4 x 25,sec-hardship-suffering-war,src-moma-exh-0569-master-checklist,Sits in MoMA Master Checklist Section 34 (Revolt)
caption-34,34,,Kings 9: 32,Who is on my side? Who?,under #413,413,2 x 29 1/2,sec-hardship-suffering-war,src-moma-exh-0569-master-checklist,Sits in MoMA Master Checklist Section 34 (Revolt)
